SERVICE TYPE,TYPE,SERVICE GROUP,MONTH,YEAR,MONTH | YEAR,QUARTER | YEAR,STATUS,DATE,QTY
INC,JOB ABEND,,1,2021,JAN | 2021,1Q | 2021,Open,,0
INC,JOB ABEND,,2,2021,FEB | 2021,1Q | 2021,Open,,0
INC,JOB ABEND,,3,2021,MAR | 2021,1Q | 2021,Open,,0
INC,JOB ABEND,,4,2021,APR | 2021,2Q | 2021,Open,,0
INC,JOB ABEND,,5,2021,MAY | 2021,2Q | 2021,Open,,0
INC,JOB ABEND,,6,2021,JUN | 2021,2Q | 2021,Open,,0
INC,JOB ABEND,,7,2021,JUL | 2021,3Q | 2021,Open,,0
INC,JOB ABEND,,8,2021,AUG | 2021,3Q | 2021,Open,,0
INC,JOB ABEND,,9,2021,SEP | 2021,3Q | 2021,Open,,0
INC,JOB ABEND,,10,2021,OCT | 2021,4Q | 2021,Open,,0
INC,JOB ABEND,,11,2021,NOV | 2021,4Q | 2021,Open,,0
INC,JOB ABEND,,12,2021,DEC | 2021,4Q | 2021,Open,,0
INC,JOB ABEND,,1,2022,JAN | 2022,1Q | 2022,Open,,0
INC,JOB ABEND,,2,2022,FEB | 2022,1Q | 2022,Open,,0
INC,JOB ABEND,,3,2022,MAR | 2022,1Q | 2022,Open,,0
INC,JOB ABEND,,4,2022,APR | 2022,2Q | 2022,Open,,0
INC,JOB ABEND,,5,2022,MAY | 2022,2Q | 2022,Open,,0
INC,JOB ABEND,,6,2022,JUN | 2022,2Q | 2022,Open,,0
INC,JOB ABEND,,7,2022,JUL | 2022,3Q | 2022,Open,,0
INC,JOB ABEND,,8,2022,AUG | 2022,3Q | 2022,Open,,0
INC,JOB ABEND,,9,2022,SEP | 2022,3Q | 2022,Open,,0
INC,JOB ABEND,,10,2022,OCT | 2022,4Q | 2022,Open,,0
INC,JOB ABEND,,11,2022,NOV | 2022,4Q | 2022,Open,,0
INC,JOB ABEND,,12,2022,DEC | 2022,4Q | 2022,Open,,0
INC,JOB ABEND,,1,2023,JAN | 2023,1Q | 2023,Open,,0
INC,JOB ABEND,,2,2023,FEB | 2023,1Q | 2023,Open,,0
INC,JOB ABEND,,3,2023,MAR | 2023,1Q | 2023,Open,,0
INC,JOB ABEND,,4,2023,APR | 2023,2Q | 2023,Open,,0
INC,JOB ABEND,,5,2023,MAY | 2023,2Q | 2023,Open,,0
INC,JOB ABEND,,6,2023,JUN | 2023,2Q | 2023,Open,,0
INC,JOB ABEND,,7,2023,JUL | 2023,3Q | 2023,Open,,65
INC,JOB ABEND,,8,2023,AUG | 2023,3Q | 2023,Open,,38
INC,JOB ABEND,,9,2023,SEP | 2023,3Q | 2023,Open,,56
INC,JOB ABEND,,10,2023,OCT | 2023,4Q | 2023,Open,,97
INC,JOB ABEND,,11,2023,NOV | 2023,4Q | 2023,Open,,100
INC,JOB ABEND,,12,2023,DEC | 2023,4Q | 2023,Open,,88
INC,JOB ABEND,,1,2024,JAN | 2024,1Q | 2024,Open,,77
INC,JOB ABEND,,2,2024,FEB | 2024,1Q | 2024,Open,,88
INC,JOB ABEND,,3,2024,MAR | 2024,1Q | 2024,Open,,71
INC,JOB ABEND,,4,2024,APR | 2024,2Q | 2024,Open,,68
INC,JOB ABEND,,5,2024,MAY | 2024,2Q | 2024,Open,,72
INC,JOB ABEND,,6,2024,JUN | 2024,2Q | 2024,Open,,66
INC,JOB ABEND,,7,2024,JUL | 2024,3Q | 2024,Open,,18
INC,JOB ABEND,,8,2024,AUG | 2024,3Q | 2024,Open,,0
INC,JOB ABEND,,9,2024,SEP | 2024,3Q | 2024,Open,,0
INC,JOB ABEND,,10,2024,OCT | 2024,4Q | 2024,Open,,0
INC,JOB ABEND,,11,2024,NOV | 2024,4Q | 2024,Open,,0
INC,JOB ABEND,,12,2024,DEC | 2024,4Q | 2024,Open,,0
INC,JOB ABEND,,1,2021,JAN | 2021,1Q | 2021,Resolved,,0
INC,JOB ABEND,,2,2021,FEB | 2021,1Q | 2021,Resolved,,0
INC,JOB ABEND,,3,2021,MAR | 2021,1Q | 2021,Resolved,,0
INC,JOB ABEND,,4,2021,APR | 2021,2Q | 2021,Resolved,,0
INC,JOB ABEND,,5,2021,MAY | 2021,2Q | 2021,Resolved,,0
INC,JOB ABEND,,6,2021,JUN | 2021,2Q | 2021,Resolved,,0
INC,JOB ABEND,,7,2021,JUL | 2021,3Q | 2021,Resolved,,0
INC,JOB ABEND,,8,2021,AUG | 2021,3Q | 2021,Resolved,,0
INC,JOB ABEND,,9,2021,SEP | 2021,3Q | 2021,Resolved,,0
INC,JOB ABEND,,10,2021,OCT | 2021,4Q | 2021,Resolved,,0
INC,JOB ABEND,,11,2021,NOV | 2021,4Q | 2021,Resolved,,0
INC,JOB ABEND,,12,2021,DEC | 2021,4Q | 2021,Resolved,,0
INC,JOB ABEND,,1,2022,JAN | 2022,1Q | 2022,Resolved,,0
INC,JOB ABEND,,2,2022,FEB | 2022,1Q | 2022,Resolved,,0
INC,JOB ABEND,,3,2022,MAR | 2022,1Q | 2022,Resolved,,0
INC,JOB ABEND,,4,2022,APR | 2022,2Q | 2022,Resolved,,0
INC,JOB ABEND,,5,2022,MAY | 2022,2Q | 2022,Resolved,,0
INC,JOB ABEND,,6,2022,JUN | 2022,2Q | 2022,Resolved,,0
INC,JOB ABEND,,7,2022,JUL | 2022,3Q | 2022,Resolved,,0
INC,JOB ABEND,,8,2022,AUG | 2022,3Q | 2022,Resolved,,0
INC,JOB ABEND,,9,2022,SEP | 2022,3Q | 2022,Resolved,,0
INC,JOB ABEND,,10,2022,OCT | 2022,4Q | 2022,Resolved,,0
INC,JOB ABEND,,11,2022,NOV | 2022,4Q | 2022,Resolved,,0
INC,JOB ABEND,,12,2022,DEC | 2022,4Q | 2022,Resolved,,0
INC,JOB ABEND,,1,2023,JAN | 2023,1Q | 2023,Resolved,,0
INC,JOB ABEND,,2,2023,FEB | 2023,1Q | 2023,Resolved,,0
INC,JOB ABEND,,3,2023,MAR | 2023,1Q | 2023,Resolved,,0
INC,JOB ABEND,,4,2023,APR | 2023,2Q | 2023,Resolved,,0
INC,JOB ABEND,,5,2023,MAY | 2023,2Q | 2023,Resolved,,0
INC,JOB ABEND,,6,2023,JUN | 2023,2Q | 2023,Resolved,,0
INC,JOB ABEND,,7,2023,JUL | 2023,3Q | 2023,Resolved,,63
INC,JOB ABEND,,8,2023,AUG | 2023,3Q | 2023,Resolved,,36
INC,JOB ABEND,,9,2023,SEP | 2023,3Q | 2023,Resolved,,60
INC,JOB ABEND,,10,2023,OCT | 2023,4Q | 2023,Resolved,,97
INC,JOB ABEND,,11,2023,NOV | 2023,4Q | 2023,Resolved,,88
INC,JOB ABEND,,12,2023,DEC | 2023,4Q | 2023,Resolved,,92
INC,JOB ABEND,,1,2024,JAN | 2024,1Q | 2024,Resolved,,80
INC,JOB ABEND,,2,2024,FEB | 2024,1Q | 2024,Resolved,,82
INC,JOB ABEND,,3,2024,MAR | 2024,1Q | 2024,Resolved,,74
INC,JOB ABEND,,4,2024,APR | 2024,2Q | 2024,Resolved,,71
INC,JOB ABEND,,5,2024,MAY | 2024,2Q | 2024,Resolved,,77
INC,JOB ABEND,,6,2024,JUN | 2024,2Q | 2024,Resolved,,64
INC,JOB ABEND,,7,2024,JUL | 2024,3Q | 2024,Resolved,,13
INC,JOB ABEND,,8,2024,AUG | 2024,3Q | 2024,Resolved,,0
INC,JOB ABEND,,9,2024,SEP | 2024,3Q | 2024,Resolved,,0
INC,JOB ABEND,,10,2024,OCT | 2024,4Q | 2024,Resolved,,0
INC,JOB ABEND,,11,2024,NOV | 2024,4Q | 2024,Resolved,,0
INC,JOB ABEND,,12,2024,DEC | 2024,4Q | 2024,Resolved,,0
INC,JOB ABEND,,1,2021,JAN | 2021,1Q | 2021,Backlog,1/1/21,0
INC,JOB ABEND,,2,2021,FEB | 2021,1Q | 2021,Backlog,1/2/21,0
INC,JOB ABEND,,3,2021,MAR | 2021,1Q | 2021,Backlog,1/3/21,0
INC,JOB ABEND,,4,2021,APR | 2021,2Q | 2021,Backlog,1/4/21,0
INC,JOB ABEND,,5,2021,MAY | 2021,2Q | 2021,Backlog,1/5/21,0
INC,JOB ABEND,,6,2021,JUN | 2021,2Q | 2021,Backlog,1/6/21,0
INC,JOB ABEND,,7,2021,JUL | 2021,3Q | 2021,Backlog,1/7/21,0
INC,JOB ABEND,,8,2021,AUG | 2021,3Q | 2021,Backlog,1/8/21,0
INC,JOB ABEND,,9,2021,SEP | 2021,3Q | 2021,Backlog,1/9/21,0
INC,JOB ABEND,,10,2021,OCT | 2021,4Q | 2021,Backlog,1/10/21,0
INC,JOB ABEND,,11,2021,NOV | 2021,4Q | 2021,Backlog,1/11/21,0
INC,JOB ABEND,,12,2021,DEC | 2021,4Q | 2021,Backlog,1/12/21,0
INC,JOB ABEND,,1,2022,JAN | 2022,1Q | 2022,Backlog,1/1/22,0
INC,JOB ABEND,,2,2022,FEB | 2022,1Q | 2022,Backlog,1/2/22,0
INC,JOB ABEND,,3,2022,MAR | 2022,1Q | 2022,Backlog,1/3/22,0
INC,JOB ABEND,,4,2022,APR | 2022,2Q | 2022,Backlog,1/4/22,0
INC,JOB ABEND,,5,2022,MAY | 2022,2Q | 2022,Backlog,1/5/22,0
INC,JOB ABEND,,6,2022,JUN | 2022,2Q | 2022,Backlog,1/6/22,0
INC,JOB ABEND,,7,2022,JUL | 2022,3Q | 2022,Backlog,1/7/22,0
INC,JOB ABEND,,8,2022,AUG | 2022,3Q | 2022,Backlog,1/8/22,0
INC,JOB ABEND,,9,2022,SEP | 2022,3Q | 2022,Backlog,1/9/22,0
INC,JOB ABEND,,10,2022,OCT | 2022,4Q | 2022,Backlog,1/10/22,0
INC,JOB ABEND,,11,2022,NOV | 2022,4Q | 2022,Backlog,1/11/22,0
INC,JOB ABEND,,12,2022,DEC | 2022,4Q | 2022,Backlog,1/12/22,0
INC,JOB ABEND,,1,2023,JAN | 2023,1Q | 2023,Backlog,1/1/23,0
INC,JOB ABEND,,2,2023,FEB | 2023,1Q | 2023,Backlog,1/2/23,0
INC,JOB ABEND,,3,2023,MAR | 2023,1Q | 2023,Backlog,1/3/23,0
INC,JOB ABEND,,4,2023,APR | 2023,2Q | 2023,Backlog,1/4/23,0
INC,JOB ABEND,,5,2023,MAY | 2023,2Q | 2023,Backlog,1/5/23,0
INC,JOB ABEND,,6,2023,JUN | 2023,2Q | 2023,Backlog,1/6/23,0
INC,JOB ABEND,,7,2023,JUL | 2023,3Q | 2023,Backlog,1/7/23,2
INC,JOB ABEND,,8,2023,AUG | 2023,3Q | 2023,Backlog,1/8/23,4
INC,JOB ABEND,,9,2023,SEP | 2023,3Q | 2023,Backlog,1/9/23,0
INC,JOB ABEND,,10,2023,OCT | 2023,4Q | 2023,Backlog,1/10/23,0
INC,JOB ABEND,,11,2023,NOV | 2023,4Q | 2023,Backlog,1/11/23,12
INC,JOB ABEND,,12,2023,DEC | 2023,4Q | 2023,Backlog,1/12/23,8
INC,JOB ABEND,,1,2024,JAN | 2024,1Q | 2024,Backlog,1/1/24,5
INC,JOB ABEND,,2,2024,FEB | 2024,1Q | 2024,Backlog,1/2/24,11
INC,JOB ABEND,,3,2024,MAR | 2024,1Q | 2024,Backlog,1/3/24,8
INC,JOB ABEND,,4,2024,APR | 2024,2Q | 2024,Backlog,1/4/24,5
INC,JOB ABEND,,5,2024,MAY | 2024,2Q | 2024,Backlog,1/5/24,0
INC,JOB ABEND,,6,2024,JUN | 2024,2Q | 2024,Backlog,1/6/24,2
INC,JOB ABEND,,7,2024,JUL | 2024,3Q | 2024,Backlog,1/7/24,7
INC,JOB ABEND,,8,2024,AUG | 2024,3Q | 2024,Backlog,1/8/24,0
INC,JOB ABEND,,9,2024,SEP | 2024,3Q | 2024,Backlog,1/9/24,0
INC,JOB ABEND,,10,2024,OCT | 2024,4Q | 2024,Backlog,1/10/24,0
INC,JOB ABEND,,11,2024,NOV | 2024,4Q | 2024,Backlog,1/11/24,0
INC,JOB ABEND,,12,2024,DEC | 2024,4Q | 2024,Backlog,1/12/24,0
INC,INCIDENTS,,1,2021,JAN | 2021,1Q | 2021,Open,,0
INC,INCIDENTS,,2,2021,FEB | 2021,1Q | 2021,Open,,0
INC,INCIDENTS,,3,2021,MAR | 2021,1Q | 2021,Open,,0
INC,INCIDENTS,,4,2021,APR | 2021,2Q | 2021,Open,,0
INC,INCIDENTS,,5,2021,MAY | 2021,2Q | 2021,Open,,0
INC,INCIDENTS,,6,2021,JUN | 2021,2Q | 2021,Open,,0
INC,INCIDENTS,,7,2021,JUL | 2021,3Q | 2021,Open,,0
INC,INCIDENTS,,8,2021,AUG | 2021,3Q | 2021,Open,,0
INC,INCIDENTS,,9,2021,SEP | 2021,3Q | 2021,Open,,0
